order-id,purchase-date,sku,quantity-purchased
114-6122762-6583452,2022-07-19T10:32:13-07:00,30150,2.0
111-0097336-3077029,2022-07-19T10:33:52-07:00,10316,1.0
112-2750818-3777862,2022-07-19T10:38:45-07:00,724300,3.0
112-8852148-1598665,2022-07-19T10:39:20-07:00,779113,1.0
114-9473300-6443467,2022-07-19T10:43:05-07:00,791193,1.0
112-0431533-0122604,2022-07-19T10:54:13-07:00,724300,2.0
112-6939056-3918629,2022-07-19T10:57:23-07:00,24153,1.0
112-2308805-5853836,2022-07-19T10:57:31-07:00,42154,1.0
113-6502143-3775429,2022-07-19T11:12:47-07:00,27-1TVA-IET3,1.0
113-5809695-7419465,2022-07-19T11:18:18-07:00,42154,2.0
113-4621461-2053839,2022-07-19T11:22:58-07:00,24124,1.0
114-2548079-1821054,2022-07-19T11:38:01-07:00,791194,3.0
111-2646936-4685011,2022-07-19T11:41:56-07:00,791193,1.0
114-9916975-0574658,2022-07-19T11:49:07-07:00,724300,1.0
111-9670525-5999451,2022-07-19T12:01:18-07:00,724599,1.0
112-0582118-1233013,2022-07-19T12:15:41-07:00,724150,1.0
114-5460879-4225014,2022-07-19T12:27:43-07:00,10316,1.0
111-1488264-7758647,2022-07-19T12:32:40-07:00,730300,1.0
113-4609178-7017822,2022-07-19T12:34:56-07:00,724500,1.0
111-2150304-4368203,2022-07-19T12:36:59-07:00,24124,1.0
114-5306982-3309829,2022-07-19T12:38:26-07:00,779153,1.0
112-3357143-2896229,2022-07-19T12:41:52-07:00,724150,2.0
113-1541886-6889064,2022-07-19T12:38:56-07:00,10311C,1.0
112-8918499-7621016,2022-07-19T12:48:37-07:00,30150,1.0
111-5088445-0693008,2022-07-19T12:55:43-07:00,724150,1.0
113-1611904-3329825,2022-07-19T13:06:34-07:00,36500,1.0
113-1206406-9044257,2022-07-19T13:10:17-07:00,799388,3.0
111-4901804-7705064,2022-07-19T13:24:31-07:00,724500,1.0
111-0892077-8242607,2022-07-19T13:41:14-07:00,24153,3.0
112-5211021-0385816,2022-07-19T13:59:23-07:00,36500,1.0
111-4303516-7475456,2022-07-19T14:00:00-07:00,771851,1.0
114-9548501-7209001,2022-07-13T14:06:18-07:00,36150,1.0
111-1461782-6121061,2022-07-19T14:12:37-07:00,42304,1.0
113-0297336-2324225,2022-07-19T14:19:48-07:00,724300,1.0
111-0955807-3251432,2022-07-19T14:30:08-07:00,724500,6.0
114-4553224-8226611,2022-07-19T14:31:06-07:00,771851,1.0
111-9150554-0828243,2022-07-19T14:35:33-07:00,730300,1.0
113-2396140-9399421,2022-07-19T15:05:19-07:00,24153,1.0
114-4329904-0747436,2022-07-19T15:22:12-07:00,724500,1.0
